,title_name,match_id,match_id_platform,platform_name,program_type,pred_day,prediction
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,1,1.0044855319423192e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,2,1.0439463730891759e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,3,1.1858530285482095e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,4,9.314284828426414e-11
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,5,1.0530967743934605e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,6,1.0393790620320356e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,7,1.030548719709409e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,8,9.158411947253106e-11
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,9,1.2296209772269682e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,10,1.0732482328660276e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,11,1.0064680688881381e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,12,1.0189884161952566e-10
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,13,9.438486021094853e-11
9563,15 Minutes of Shame,GYVwB2QzURrmjIwEAAABa,1-GYVwB2QzURrmjIwEAAABa,1,1,14,0.09833155962777032
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-27,1.4830579329318425
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-26,1.2573428747164406
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-25,1.2532800621062776
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-24,1.251873057067797
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-23,1.2436114653164894
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-22,1.2442576075691876
